jogi	1	0.0
Fantonald	46	0.123915217391
DarthEzio	3	0.3745
xan	2	0.44865
HrBingR	2	-0.27575
MikeIsBored	1	-0.402
Burr544	1	0.8162
HMagellan	1	-0.0516
Rasterpunk	5	-0.28364
estherschindler	1	0.886
Kr1ll1n	2	-0.08855
formati	1	0.4019
Declaration	1	0.4623
troctzul	7	0.270114285714
Hobbes	2	0.38915
TheNuclearNewt	5	0.17908
mandivether	3	0.3107
Musekyto	27	0.0280814814815
DoodleAComment	1	-0.1531
schenn	1	0.1027
ZanduVid	1	-0.5709
Hound	2	-0.0799
jansegers	3	0.244033333333
luis	4	0.3337
SkinnyTieChuck	2	0.5432
Insertnamehere	18	0.231477777778
Southchirep	9	0.203211111111
Bil1ion	4	-0.0625
Chaos_Theory	13	0.410784615385
lizardgod	1	-0.705
duncan006	7	0.376057142857
nicktish	1	-0.1779
eric1_z	18	0.321083333333
inam1990	1	0.0
Meowsticgoesnya	8	-0.1584625
Photocopier	2	-0.48385
StoptheNWO	2	0.6992
rodterez	1	-0.5574
DankMemer	1	0.0
jackripper	36	0.309927777778
inocain	1	-0.1531
priapus	1	0.4927
CaptainDoge	1	0.8016
bb010g	3	0.417
MikeHunt	1	0.25
MattStrzok	9	0.488955555556
jw98520182	1	0.34
idiot	1	0.5719
Empoopled	49	0.000632653061224
LJ6782	12	0.2585
toodles	22	0.219218181818
HeardOfMe	4	0.28795
iceburg108	1	0.6808
Ricky0101	1	0.9622
trivedirock91	1	0.9022
Chipped	2	0.59805
Azasinner	1	0.34
Aris	76	0.193992105263
OGgangster	1	0.9413
love	2	-0.50135
sunny123	1	0.4215
TerreNemo	13	-0.00803076923077
SilverTabby	1	-0.0258
5moufl	1	-0.6249
ooobs	1	0.2263
heisenburger	3	-0.0804333333333
Cedara	15	0.415593333333
lawduck	6	0.3431
Ludiko	21	0.14900952381
dickens	2	-0.35295
Kurt_blowbrain	5	0.2679
archit13	2	0.388
jmccabe	3	0.215266666667
sdqvc	1	0.4939
3dk	1	0.5423
MikahMancer	10	0.18474
scorpion	1	0.0
Newguyondeck	9	-0.148966666667
Sweatervest	1	0.6595
DarkKirby14	11	-0.127881818182
SlicknessPerson	1	0.4215
bioHazardous	1	-0.5118
OlPossum	1	0.25
dave8520	1	-0.4404
pogla	2	-0.6213
kavi	1	-0.5994
ZGV2cmFuZG9tCg	2	0.31845
insomnia	12	-0.0881833333333
mediaboar	10	0.18026
Damdirtyphreak	3	0.166466666667
MattE	1	0.0516
M2	3	0.9305
stickman	2	0.4008
lucitribal	55	0.297007272727
TeriRoss	1	0.0
fleshtrombone	1	0.0
JuanCarlos	3	0.126733333333
removed	2	0.25225
Overpower	1	0.4003
teamvista	11	0.493227272727
stupidskeleton	3	0.204133333333
Pink	12	0.235
Eskandar	24	0.312120833333
MisterWonka	7	0.196728571429
Rasputin44	1	0.0
Cawendaw	3	0.306933333333
kwigginsRP	1	0.0
alfajonah	2	0.1806
Empeopler	3	0.3484
CptLici	2	0.0
HeroOfCanton	97	0.266450515464
sharkbunny	1	0.768
dinnerandamovie	1	0.4926
Stardust	63	0.314685714286
lexjay	2	0.23835
Googolplexbyte	1	0.0
DeusExMachina	92	0.0807152173913
asmoreborn	1	-0.0644
MrWeb20	1	-0.2263
WateryStar	3	0.461933333333
Panos	2	0.73895
Sat	1	0.6997
bendover340	3	0.5074
kickback	3	0.0778333333333
Matlox	3	0.216633333333
gabriel_swee_7	245	-0.054473877551
gkaos	2	0.7157
VanGoghFukYou	1	0.5707
mumrahte	3	0.0553666666667
FairEnough	40	0.40148
KevinUxbridge	38	0.0801078947368
learn2art	2	0.6537
maguz	2	0.296
Citrogenen	64	0.250021875
captainfez	14	-0.0279428571429
musicout	1	0.0
LiberalGuy	96	0.320459375
DribblingFan	1	0.4404
kemik	1	-0.8658
zeesmileyface	2	-0.2264
futabutt	1	0.0
glenisahat	1	0.0
Binerexis	4	0.047025
goej	16	0.06368125
WilliamRobert	2	-0.4924
GreatGerm	1	0.802
oogie386	1	0.784
EmberBreeze	27	0.289937037037
longballs2025	1	-0.7783
chosler88	3	0.4077
marmotjmarmot	1	-0.4939
SubtlePinkness	1	0.8604
JohnyFakeName	1	0.0
Sightseer	23	0.0291130434783
elocinasile	3	0.213433333333
cju5025	1	0.6588
Soup	5	0.2904
CoffeErickaix	2	0.4914
FormerComrade	4	0.299125
montrealmri	1	0.128
indietorch	1	0.7263
billdow00	5	0.35804
bementar	19	-0.00180526315789
Risenanti	1	0.0
Asimov	16	0.13960625
RipeBanana	1	0.0
zBeer	2	0.66055
SirBumper	2	0.7107
thatcoolmartian	8	-0.0679875
weltraumaffe	1	0.765
divbit	1	0.3612
iZombie	1	0.0
Pockkit	5	0.38818
Katantunoro	15	0.33606
Folanco	1	0.0
wiz0floyd	1	0.5562
VeryYes	25	0.269828
Derpetologist	12	-0.127641666667
Claire	9	0.224811111111
NULL	9	0.249811111111
itzBolt	1	0.6597
Elathen	5	0.22748
Dino	21	0.251371428571
Revue1	1	0.91
thatbookishgirl	1	0.936
mobh	1	0.0
neuroyoutube	1	0.2732
DanoMR	1	-0.0571
pox_	1	-0.1531
geoffreybyers	1	0.0
slalaurette	2	0.0
Epicurious	1	0.7777
Selketo	2	0.38075
transcendence	5	0.20988
