EmberBreeze	tuister007	1	0.3378
VanGoghFukYou	Aris	1	0.5707
DeusExMachina	OGgangster	1	0.0
Cawendaw	Aris	1	0.2732
dickens	LiberalGuy	2	-0.35295
elocinasile	Dino	1	-0.0772
eric1_z	Aris	7	0.2463
Musekyto	gabriel_swee_7	4	-0.12855
Citrogenen	Dino	1	0.0
lawduck	Aris	1	0.0
rodterez	gkaos	1	-0.5574
LiberalGuy	FairEnough	2	0.3586
insomnia	Insertnamehere	1	-0.4667
lawduck	DeusExMachina	1	0.0
MisterWonka	gabriel_swee_7	1	0.0
stupidskeleton	gabriel_swee_7	1	0.6124
LiberalGuy	Weizi	2	0.1394
lucitribal	teamvista	1	0.3818
jackripper	goej	1	0.5059
goej	Chaos_Theory	1	0.0
Hound	HeroOfCanton	1	-0.2737
SubtlePinkness	RazielAlucard	1	0.8604
SkinnyTieChuck	Illisia	1	0.3802
gabriel_swee_7	Sightseer	2	0.33825
zeesmileyface	HeroOfCanton	1	0.0
captainfez	Insertnamehere	2	0.10115
Pink	Aris	4	-0.11705
Empoopled	jaydog	1	0.825
Meowsticgoesnya	Aris	3	0.1193
Newguyondeck	DarkKirby14	1	0.0
gabriel_swee_7	Crossposted	35	-0.00162285714286
idiot	Aris	1	0.5719
Fantonald	DeusExMachina	2	0.06385
LJ6782	DeusExMachina	1	0.3612
FairEnough	Crossposted	3	0.00753333333333
Eskandar	NULL	1	0.844
DeusExMachina	HeroOfCanton	3	0.414466666667
HeroOfCanton	imaguy	1	0.0
Epicurious	Aris	1	0.7777
Panos	Aris	1	0.854
bendover340	LJ6782	1	0.2392
captainfez	Aris	7	-0.155171428571
Fantonald	DarkKirby14	1	0.4404
NULL	HeroOfCanton	1	0.5977
Aris	biian	1	0.0
jackripper	HeroOfCanton	3	0.328633333333
priapus	Crossposted	1	0.4927
cju5025	lucitribal	1	0.6588
LiberalGuy	DeusExMachina	1	0.313
DeusExMachina	Chaos_Theory	1	0.0
Overpower	HeroOfCanton	1	0.4003
HrBingR	eric1_z	1	0.0
LiberalGuy	Stardust	2	0.48525
Kurt_blowbrain	Aris	1	0.92
Revue1	Aris	1	0.91
Citrogenen	Weizi	1	0.5106
gkaos	DeusExMachina	1	0.832
LiberalGuy	Aris	15	0.2966
Chaos_Theory	Citrogenen	1	-0.2244
lucitribal	Derpetologist	1	0.0
captainfez	Southchirep	1	0.4927
ooobs	Insertnamehere	1	0.2263
eric1_z	Claire	1	0.2732
duncan006	HeroOfCanton	1	0.25
CaptainDoge	Aris	1	0.8016
Meowsticgoesnya	Insertnamehere	2	-0.3927
Binerexis	Aris	2	-0.38135
transcendence	DeusExMachina	1	0.7959
lucitribal	OGgangster	2	0.0
oogie386	teamvista	1	0.784
HeroOfCanton	Claire	2	0.1806
jmccabe	Stardust	1	-0.2023
Eskandar	Meowsticgoesnya	1	0.6529
Rasterpunk	captainfez	2	-0.4408
Musekyto	Derpetologist	1	0.372
Chipped	Chipped	1	0.3182
lucitribal	Factoverfallacy	1	0.3182
Fantonald	Citrogenen	1	0.0
Pockkit	jackripper	1	0.7713
VeryYes	EmberBreeze	1	0.0
troctzul	troctzul	3	0.136133333333
Eskandar	Empeopler	1	0.128
thatcoolmartian	Aris	1	0.3612
WateryStar	Insertnamehere	1	0.4215
goej	Insertnamehere	3	0.187966666667
lucitribal	lucitribal	3	0.3686
HeroOfCanton	insomnia	2	0.40255
Southchirep	DeusExMachina	1	-0.3142
LiberalGuy	Pockkit	1	0.8912
toodles	Aris	14	0.149728571429
TheNuclearNewt	HeroOfCanton	2	-0.30575
Derpetologist	Aris	1	0.0
Empoopled	lucitribal	1	0.34
FairEnough	teamvista	1	0.4404
longballs2025	gabriel_swee_7	1	-0.7783
HeroOfCanton	MikeIsBored	1	0.3612
duncan006	Aris	4	0.459
bementar	LiberalGuy	2	-0.38105
Empoopled	dennisrudolphey	1	-0.7096
thatcoolmartian	Crossposted	1	-0.4767
Stardust	Stardust	1	0.0
Kurt_blowbrain	Chaos_Theory	1	0.5911
Chaos_Theory	removed	1	0.0
FairEnough	FairEnough	1	0.8689
LiberalGuy	Dino	2	0.39225
3dk	Aris	1	0.5423
toodles	Stardust	1	0.7532
lucitribal	Chipped	1	-0.34
Derpetologist	simkel	1	0.1154
bementar	gabriel_swee_7	1	-0.4019
Fantonald	KevinUxbridge	2	0.10115
LiberalGuy	troctzul	4	0.177
NULL	Chaos_Theory	1	0.0
eric1_z	Chaos_Theory	1	0.3506
VeryYes	tuister007	1	0.6486
HeroOfCanton	darderdor	1	0.5994
VeryYes	HeroOfCanton	4	0.0858
HeroOfCanton	FairEnough	1	0.507
Eskandar	Aris	5	0.49254
maguz	Crossposted	1	0.296
HeroOfCanton	Aris	41	0.364612195122
