Chaos_Theory	9	4	0.70825
Hupen	1	7	0.0
JasonSmithsy	1	1	0.7479
LucasBauer	1	1	0.9983
kavi	11	2	0.0
Ichijou	1	3	0.0256
Stardust	6	9	0.0
MattStrzok	9	2	0.8206
mtgoguy	8	3	0.1702
neuroyoutube	10	2	0.9432
LJ6782	8	1	0.0
estherschindler	5	2	0.0209
Crossposted	8	1	0.0
mdanisurr	1	2	0.468
varmansk	2	3	0.230266666667
StrivewireChris	7	5	0.69412
Pockkit	13	1	0.0
Empeopler	4	1	0.9107
Elathen	5	1	0.7391
hdaaackda	6	1	0.0
squidfactory	1	1	0.8074
edmbeats	2	6	0.0
troctzul	7	5	0.8245
bigpappyj	4	1	0.9778
JamesBond	6	1	0.0
dennisrudolphe	1	4	0.5823
JoshCraig	1	1	0.6053
flaru	1	2	0.2723
jaydog	2	3	0.0
Ludiko	9	4	0.208225
meganlarussa	1	2	0.29295
Insertnamehere	5	3	-0.594733333333
inam1990	4	1	0.0
mandivether	4	24	0.158304166667
Engelsmar	1	1	0.0
alexplunkett	1	3	0.151866666667
janesmonday1	1	1	0.0
estherschindler	6	4	0.272275
Crossposted	13	16	-0.0639
ashleybea	1	1	0.9538
eric1_z	11	16	0.079475
newbuddy	1	1	0.0
aladdincruz	1	1	-0.5994
toodles	14	8	-0.1659875
DeusExMachina	10	1	0.6813
alexmeltoe	1	2	0.17485
GonzoSilverback	1	4	0.0
CaptainVimes	1	1	0.4767
DarkKirby14	5	13	-0.00198461538462
professionals	1	1	0.4019
james008	1	1	0.0
codywohlers	3	1	0.0772
AlyssaPaula	1	2	0.51955
Derpetologist	6	1	0.0
TheIconic001	1	1	0.0516
jasminshawn01	1	1	0.9661
Stardust	12	7	0.4596
simkel	8	32	0.201503125
Crossposted	7	16	-0.207725
jansegers	3	6	0.247383333333
benjancewicz	7	23	0.365186956522
Stardust	17	1	0.0
KevinUxbridge	4	1	0.9407
KevinUxbridge	8	31	-0.141906451613
TiffanyMelendez	1	1	0.7269
zaibatsu	8	1	0.0
jcarter065	1	1	0.0
Dino	9	2	0.4814
goej	7	2	0.56225
stevepelton	1	1	-0.3599
LiberalGuy	9	3	0.280166666667
lucitribal	14	21	0.0635904761905
jaydog	4	27	0.0
dickens	7	2	0.0
MixWorld	2	4	0.0
Derpetologist	5	4	-0.283525
lucitribal	10	3	0.0
Fantonald	9	35	-0.21034
RentSpot	1	2	0.9109
candacebernhard	2	1	0.0
sureshryan	1	1	0.7777
Cedara	9	4	0.308975
itsalexplunkett	1	4	0.350475
Falsomagro	1	1	0.8229
gabriel_swee_7	13	74	-0.00541216216216
allison644	1	2	0.4767
dennisrudolphey	2	4	0.501275
formati	1	8	0.1748125
